연도,월,행정구역구분명,행정구역명,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수 (남),0~9세 (남),10~19세 (남),20~29세 (남),30~39세 (남),40~49세 (남),50~59세 (남),60~69세 (남),70~79세 (남),80~89세 (남),90~99세 (남),100세 이상 (남),총 인구수 (여),0~9세 (여),10~19세 (여),20~29세 (여),30~39세 (여),40~49세 (여),50~59세 (여),60~69세 (여),70~79세 (여),80~89세 (여),90~99세 (여),100세 이상 (여)
2021,04,읍면동,경기도 광명시 광명7동,18838,1216,1678,2517,2485,2913,3225,2883,1325,520,75,1,9307,591,848,1350,1303,1453,1552,1374,622,194,20,0,9531,625,830,1167,1182,1460,1673,1509,703,326,55,1
2021,04,읍면동,경기도 광명시 소하1동,31974,2953,4278,3716,3923,6122,4913,3722,1602,633,108,4,15625,1512,2186,1939,1847,2955,2445,1781,738,197,24,1,16349,1441,2092,1777,2076,3167,2468,1941,864,436,84,3
2021,04,읍면동,경기도 광명시 소하2동,50897,4656,5017,6952,8269,8698,8160,5620,2434,936,149,6,25572,2395,2563,3653,4191,4423,4153,2711,1137,311,33,2,25325,2261,2454,3299,4078,4275,4007,2909,1297,625,116,4
2021,04,읍면동,경기도 광명시 철산1동,11016,897,1392,1439,1467,2027,1810,1225,518,213,27,1,5437,460,727,749,731,951,895,603,240,75,6,0,5579,437,665,690,736,1076,915,622,278,138,21,1
2021,04,읍면동,경기도 광명시 철산2동,7728,297,504,1123,1051,1129,1605,1220,512,248,38,1,4059,146,269,595,605,600,869,646,225,95,9,0,3669,151,235,528,446,529,736,574,287,153,29,1
2021,04,읍면동,경기도 광명시 철산3동,33935,3000,4286,4289,3956,6320,5685,3983,1603,704,105,4,16637,1521,2229,2207,1861,2990,2830,1953,768,256,21,1,17298,1479,2057,2082,2095,3330,2855,2030,835,448,84,3
2021,04,읍면동,경기도 광명시 철산4동,13295,1011,1204,1653,2327,2298,2158,1610,768,241,22,3,6664,530,628,877,1172,1153,1101,760,359,80,2,2,6631,481,576,776,1155,1145,1057,850,409,161,20,1
2021,04,읍면동,경기도 광명시 하안1동,26210,2256,3196,3253,2946,4922,4486,3171,1331,543,100,6,13078,1170,1634,1723,1467,2409,2285,1565,634,170,21,0,13132,1086,1562,1530,1479,2513,2201,1606,697,373,79,6
2021,04,읍면동,경기도 광명시 하안2동,14025,987,1053,1729,2510,2398,2173,1724,849,522,78,2,6641,500,537,863,1318,1181,1027,714,341,143,17,0,7384,487,516,866,1192,1217,1146,1010,508,379,61,2
2021,04,읍면동,경기도 광명시 하안3동,20416,1446,1837,2468,2829,3436,3322,2617,1484,840,134,3,9624,782,936,1222,1403,1681,1606,1177,540,247,30,0,10792,664,901,1246,1426,1755,1716,1440,944,593,104,3
2021,04,읍면동,경기도 광명시 하안4동,12442,941,1413,1672,2008,2291,2046,1237,537,262,34,1,6036,488,731,848,1027,1079,991,562,216,89,5,0,6406,453,682,824,981,1212,1055,675,321,173,29,1
2021,04,읍면동,경기도 광명시 학온동 ,2210,64,88,202,224,224,432,539,252,160,24,1,1260,33,56,119,134,139,262,308,132,72,5,0,950,31,32,83,90,85,170,231,120,88,19,1
2021,04,시군,경기도 광주시 ,383794,34362,34124,45153,56776,67231,63956,49924,22333,8614,1267,54,196185,17654,17465,24011,29526,35506,32638,25019,10782,3296,277,11,187609,16708,16659,21142,27250,31725,31318,24905,11551,5318,990,43
2021,04,읍면동,경기도 광주시 경안동 ,24939,1946,2256,3360,3501,4068,4412,3195,1526,597,75,3,12863,1032,1161,1813,1847,2134,2350,1609,698,209,9,1,12076,914,1095,1547,1654,1934,2062,1586,828,388,66,2
2021,04,읍면동,경기도 광주시 곤지암읍,23153,1379,1835,2831,2790,3559,4569,3621,1649,818,99,3,12360,701,977,1582,1549,1930,2541,1936,807,311,25,1,10793,678,858,1249,1241,1629,2028,1685,842,507,74,2
2021,04,읍면동,경기도 광주시 광남1동,33522,2615,2688,4270,4796,5741,5922,4776,1970,644,97,3,17230,1359,1383,2289,2505,3082,2989,2387,976,242,18,0,16292,1256,1305,1981,2291,2659,2933,2389,994,402,79,3
2021,04,읍면동,경기도 광주시 광남2동,34078,5317,4005,3032,6044,7245,4100,2684,1202,386,61,2,16899,2662,2073,1539,2853,3667,2089,1254,594,158,10,0,17179,2655,1932,1493,3191,3578,2011,1430,608,228,51,2
2021,04,읍면동,경기도 광주시 남종면 ,1502,35,67,113,94,147,263,396,223,143,21,0,778,20,33,59,52,80,145,214,107,61,7,0,724,15,34,54,42,67,118,182,116,82,14,0
2021,04,읍면동,경기도 광주시 남한산성면,2581,145,196,178,216,357,479,516,300,163,30,1,1367,72,102,91,113,205,271,285,148,74,6,0,1214,73,94,87,103,152,208,231,152,89,24,1
2021,04,읍면동,경기도 광주시 도척면 ,9465,464,642,1008,1007,1336,1843,1824,832,437,67,5,5209,239,340,589,587,804,1036,1006,426,165,16,1,4256,225,302,419,420,532,807,818,406,272,51,4
2021,04,읍면동,경기도 광주시 송정동 ,22061,1621,2013,2813,2904,3740,3959,3089,1363,486,69,4,11106,797,979,1484,1551,1940,1978,1547,644,169,17,0,10955,824,1034,1329,1353,1800,1981,1542,719,317,52,4
